Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Buyer_Aggression,Avg_Trade_Size,Taker_Price_Premium,EMA_9,EMA_21,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ATRr_14,Return_Lag_1,Return_Lag_2,Return_Lag_3,Rolling_Vol_14,Hour,DayOfWeek,Target
2019-11-11 06:00:00,8900.07,8900.52,8744.33,8789.61,4644.611052,2019-11-11 06:59:59.999,40930478.8781506,32829,1890.127054,16662814.26166474,0.4069505568579524,0.14147890742940694,26.101211794939445,8948.931466761971,8947.442867210451,34.458396400326855,17.716226909778925,-25.06304041071757,42.779267320496494,67.49954643451441,-0.004454188525598646,-0.008833015321129456,-0.003806039962315211,0.004603740958658456,6.0,0.0,1
2019-11-11 07:00:00,8789.61,8825.89,8759.77,8814.44,2204.048323,2019-11-11 07:59:59.999,19387756.70461428,17878,1143.264415,10057501.08114285,0.5187111385306955,0.12328271188052355,-17.261544005768883,8922.033173409578,8935.351697464046,37.71379343690441,5.067681688218727,-30.16926850582221,35.236950194040936,67.40100740347759,-0.012412247979793345,-0.004454188525598646,-0.008833015321129456,0.004672853594299568,7.0,0.0,0
2019-11-11 08:00:00,8812.8,8813.62,8761.0,8764.63,1579.900752,2019-11-11 08:59:59.999,13883018.87593007,15575,840.991285,7390131.44415716,0.5323064021175933,0.10143825052969503,22.775501065520075,8890.552538727663,8919.831543149132,34.05914848071938,-8.873345840787806,-35.288236827862995,26.41489098707519,66.40379258894352,0.002824926248149895,-0.012412247979793345,-0.004454188525598646,0.004747739928554979,8.0,0.0,0
2019-11-11 09:00:00,8765.48,8766.94,8618.68,8659.65,6398.254544,2019-11-11 09:59:59.999,55558072.86244641,45251,2906.20871,25233682.59519326,0.45421898894680796,0.14139476572893417,23.03080966327434,8844.372030982131,8896.17867559012,27.918528650001406,-28.06915549068617,-43.58723718220909,15.518081691522918,72.25066454687614,-0.005650954570001199,0.002824926248149895,-0.012412247979793345,0.0053037617486552755,9.0,0.0,1
2019-11-11 13:00:00,8715.83,8730.27,8692.0,8723.7,1177.965477,2019-11-11 13:59:59.999,10259701.87632498,14652,590.077609,5139194.37545495,0.5009294589029795,0.0803962242014742,-14.346692789609733,8771.304287890282,8840.447896721615,36.25172677773319,-53.88522642287717,-31.643186021963153,-22.242040400914014,68.58259501570517,-0.0012513263830479238,0.0014148978530961198,0.006323581207092754,0.00562258233325941,13.0,0.0,1
2019-11-11 14:00:00,8723.1,8754.23,8707.07,8749.65,1641.007294,2019-11-11 14:59:59.999,14329051.46438901,17192,848.596889,7410292.76985298,0.517119510743625,0.095451796998604,-17.243758698094098,8766.973430312226,8832.193542474195,39.59201211882466,-53.691682702792605,-25.15971384150287,-28.531968861289734,67.0524096574405,0.0009041031136485245,-0.0012513263830479238,0.0014148978530961198,0.005766250284859072,14.0,0.0,0
2019-11-11 17:00:00,8734.37,8745.0,8717.97,8737.0,769.901728,2019-11-11 17:59:59.999,6723761.39825186,10289,399.250205,3486803.01234251,0.5185729431172286,0.07482765361065216,-3.621860989376728,8750.21711631986,8807.29958112261,39.29941076420778,-53.358770655884655,-12.310261602395357,-41.0485090534893,62.276142134619846,0.0012414613708346955,-0.0029784048504796212,0.002974655249492697,0.005736489227111213,17.0,0.0,1
2019-11-11 19:00:00,8769.64,8776.17,8733.87,8763.76,1245.258448,2019-11-11 19:59:59.999,10897411.42528915,12493,696.382847,6094613.77037932,0.5592275628552893,0.09967649467701914,-11.945108759118739,8756.03335444471,8800.229075307941,43.23875957088784,-45.87869668330677,-2.557327766892328,-43.32136891641444,61.6063164324018,0.003735836099347578,0.0002953830935539248,0.0012414613708346955,0.0055401281460947475,19.0,0.0,0
2019-11-12 07:00:00,8766.54,8786.0,8760.78,8772.37,1373.758165,2019-11-12 07:59:59.999,12054137.85584765,13769,554.153055,4862636.2749833,0.40338472164786005,0.09977181821483042,2.5275325657985377,8753.66231342094,8764.76786802192,49.41146961520904,-20.030463423541732,10.060431768249618,-30.09089519179135,49.41543741480666,0.0014805371059614103,0.0009948678541045197,0.00048394570197873854,0.0018429154211448068,7.0,1.0,0
2019-11-12 11:00:00,8750.0,8759.33,8729.59,8748.77,1162.00336,2019-11-12 11:59:59.999,10160683.46146943,17345,648.43746,5670353.31555835,0.5580340662698257,0.06699356356298644,-4.128202842954124,8752.585795577219,8760.755928571763,45.09366591934096,-15.085909025196088,6.879788790971531,-21.96569781616762,45.939573563210395,-0.0011940012282458667,0.0012034381989340925,-0.0025580316379724133,0.0012522017102760735,11.0,1.0,0
2019-11-12 12:00:00,8748.77,8888.0,8660.0,8721.2,5444.278433,2019-11-12 12:59:59.999,47745931.78705464,41691,2642.230221,23186246.44788301,0.4853223900130384,0.13058641992276512,54.055942348488315,8746.308636461776,8757.15993506524,39.82554843567815,-16.480116400049155,4.388465132894773,-20.868581532943928,58.943889737266794,-0.00014057142857137883,-0.0011940012282458667,0.0012034381989340925,0.0014447849113308556,12.0,1.0,0
2019-11-12 14:00:00,8671.05,8707.89,8645.61,8681.57,2077.068747,2019-11-12 14:59:59.999,18034308.94481426,19489,930.392026,8077410.84135071,0.4479351140128633,0.10657646605777617,0.15836355619285314,8721.615527335538,8743.324491789454,34.90550925263269,-24.031374899896036,-2.4711872629801768,-21.56018763691586,60.861976355092224,-0.005538228684126123,-0.0031513001256175954,-0.00014057142857137883,0.0020258917520938296,14.0,1.0,1
2019-11-12 16:00:00,8703.61,8730.0,8683.39,8716.87,1795.399235,2019-11-12 16:59:59.999,15638069.80410611,21973,866.958978,7551832.64418709,0.4828781037104541,0.08170933577572476,-6.154919099033577,8718.051137494745,8737.774538668971,43.47755042979022,-22.875347761730154,-0.6528384659795279,-22.222509295750626,66.77762246944178,0.002729920970515831,0.0009996656251081149,-0.005538228684126123,0.0022160535879029207,16.0,1.0,1
2019-11-12 18:00:00,8741.21,8760.36,8731.48,8750.15,1048.042454,2019-11-12 18:59:59.999,9169125.01738363,13438,486.106377,4253173.79219977,0.4638231735219383,0.07799095505283524,-0.6787043379608804,8728.425927996637,8739.312428652043,50.541720908322795,-16.26384843663982,4.3511269262028875,-20.614975362842706,63.41815406803921,0.002971250001434056,0.0013325261594414606,0.002729920970515831,0.0023762120461511367,18.0,1.0,1
2019-11-12 19:00:00,8750.96,8789.6,8746.4,8774.51,1203.365484,2019-11-12 19:59:59.999,10555822.53025963,13856,686.415773,6021490.14738192,0.570413379913762,0.08684797084295612,-2.1443518960477377,8737.642742397311,8742.512207865493,55.21372023384079,-11.502857402063455,7.289694368623405,-18.79255177068686,61.974000206036465,0.0008441260607334744,0.002971250001434056,0.0013325261594414606,0.0024771511236012294,19.0,1.0,1
2019-11-12 20:00:00,8774.13,8824.24,8755.0,8794.21,1670.413712,2019-11-12 20:59:59.999,14676364.58325719,15282,903.105644,7935538.60595819,0.5406478871145665,0.10930596204685251,-7.266126179862113,8748.95619391785,8747.212007150449,58.61817114366313,-6.070139555578862,10.177929772086397,-16.24806932766526,62.49300019131956,0.0027839522751038626,0.0008441260607334744,0.002971250001434056,0.00251630485278234,20.0,1.0,0
2019-11-12 22:00:00,8771.04,8790.0,8755.0,8778.56,702.667891,2019-11-12 22:59:59.999,6162480.72912225,11212,351.156031,3079944.00876042,0.49974680143738054,0.06267105699250804,-7.689683492690165,8758.560764107424,8752.108766240039,54.877490274781294,-0.953282299617058,10.19900167212154,-11.152283971738598,58.761413430270444,-0.0025277995408341525,0.0022451396146336844,0.0027839522751038626,0.0025149763130873784,22.0,1.0,1
2019-11-12 23:00:00,8777.45,8823.11,8768.2,8821.94,1061.778396,2019-11-12 23:59:59.999,9334612.41234529,13870,614.440635,5402256.24234964,0.5786900894901992,0.07655215544340302,-29.78672330527297,8771.23661128594,8758.457060218218,61.965619913440655,4.527405798116888,12.54375181588439,-8.016346017767502,58.4863124709654,0.0007501157093381394,-0.0025277995408341525,0.0022451396146336844,0.002807032158328863,23.0,1.0,0
